,reviews,calories,calories_unit,carbs,carbs_unit,mash_ph
2652,0,169,calories,19,g,n/a
2653,0,199,calories,22,g,n/a
2654,0,225,calories,23,g,n/a
2655,0,221,calories,27,g,n/a
2656,0,169,calories,18,g,n/a
2657,0,218,calories,21,g,n/a
2658,0,122,calories,10,g,n/a
2659,0,176,calories,15,g,n/a
2660,0,145,calories,14,g,n/a
2661,0,226,calories,23,g,n/a
2662,0,163,calories,18,g,n/a
2663,0,346,calories,38,g,n/a
2664,0,246,calories,24,g,n/a
2665,0,299,calories,35,g,n/a
2666,0,208,calories,22,g,n/a
2667,0,237,calories,26,g,n/a
2668,0,199,calories,16,g,n/a
2669,0,178,calories,19,g,n/a
2670,0,221,calories,27,g,n/a
2671,0,202,calories,21,g,n/a
2672,0,252,calories,26,g,n/a
2673,0,202,calories,21,g,n/a
2674,0,194,calories,14,g,n/a
2675,0,318,calories,33,g,n/a
2676,0,182,calories,18,g,n/a
2677,0,183,calories,20,g,n/a
2678,0,246,calories,25,g,n/a
2679,0,149,calories,17,g,n/a
2680,0,178,calories,18,g,n/a
2681,0,151,calories,16,g,n/a
2682,0,171,calories,16,g,n/a
2683,0,293,calories,29,g,n/a
2684,0,208,calories,22,g,n/a
2685,0,178,calories,18,g,n/a
2686,0,176,calories,19,g,n/a
2687,0,195,calories,20,g,n/a
2688,0,342,calories,36,g,n/a
2689,0,175,calories,18,g,n/a
2690,0,148,calories,15,g,n/a
2691,0,151,calories,15,g,n/a
2692,0,276,calories,28,g,n/a
2693,0,341,calories,34,g,n/a
2694,0,181,calories,17,g,5.96
2695,0,233,calories,24,g,n/a
2696,0,303,calories,35,g,n/a
2697,0,262,calories,26,g,n/a
2698,0,218,calories,22,g,n/a
2699,0,152,calories,15,g,n/a
2700,0,252,calories,26,g,n/a
2701,0,169,calories,18,g,n/a
2702,0,352,calories,36,g,n/a
2703,0,213,calories,19,g,n/a
2704,0,210,calories,24,g,n/a
2705,0,216,calories,24,g,n/a
2706,0,262,calories,26,g,n/a
2707,0,162,calories,17,g,n/a
2708,0,117,calories,12,g,n/a
2709,0,252,calories,26,g,n/a
2710,0,305,calories,34,g,n/a
2711,0,208,calories,22,g,n/a
2712,0,178,calories,18,g,n/a
2713,0,322,calories,35,g,n/a
2714,0,278,calories,31,g,n/a
2715,0,204,calories,19,g,n/a
2716,0,179,calories,20,g,n/a
2717,0,243,calories,20,g,n/a
2718,0,182,calories,19,g,n/a
2719,0,165,calories,17,g,n/a
2720,0,193,calories,21,g,n/a
2721,0,223,calories,23,g,n/a
2722,0,273,calories,28,g,n/a
2723,0,216,calories,24,g,n/a
2724,0,388,calories,38,g,n/a
2725,0,251,calories,28,g,n/a
2726,0,184,calories,18,g,n/a
2727,0,189,calories,21,g,n/a
2728,0,183,calories,20,g,n/a
2729,0,243,calories,26,g,n/a
2730,0,141,calories,15,g,n/a
2731,0,178,calories,19,g,n/a
2732,1,256,calories,25,g,n/a
2733,0,247,calories,27,g,n/a
2734,0,252,calories,19,g,n/a
2735,0,238,calories,24,g,n/a
2736,0,159,calories,18,g,n/a
2737,0,214,calories,20,g,n/a
2738,0,216,calories,24,g,n/a
2739,0,482,calories,26,g,n/a
2740,0,259,calories,21,g,n/a
2741,2,182,calories,19,g,n/a
2742,0,266,calories,27,g,n/a
2743,0,141,calories,14,g,n/a
2744,0,172,calories,18,g,n/a
2745,0,290,calories,30,g,n/a
2746,0,148,calories,15,g,n/a
2747,0,146,calories,16,g,n/a
2748,0,225,calories,23,g,n/a
2749,0,168,calories,18,g,n/a
2750,0,178,calories,19,g,n/a
2751,1,177,calories,11,g,n/a
2752,0,155,calories,16,g,n/a
2753,0,165,calories,17,g,n/a
2754,0,149,calories,16,g,n/a
2755,0,234,calories,26,g,n/a
2756,0,212,calories,21,g,n/a
2757,0,341,calories,34,g,n/a
2758,0,267,calories,14,g,n/a
2759,0,189,calories,21,g,n/a
2760,0,179,calories,20,g,n/a
2761,0,193,calories,21,g,n/a
2762,0,321,calories,33,g,n/a
2763,0,199,calories,21,g,n/a
2764,0,182,calories,18,g,4.7
2765,0,182,calories,18,g,n/a
2766,0,161,calories,14,g,n/a
2767,0,187,calories,18,g,n/a
2768,0,188,calories,20,g,n/a
2769,0,193,calories,21,g,n/a
2770,0,208,calories,22,g,n/a
2771,0,129,calories,14,g,n/a
2772,0,319,calories,35,g,n/a
2773,0,375,calories,21,g,n/a
2774,0,183,calories,21,g,n/a
2775,0,227,calories,25,g,n/a
2776,0,145,calories,15,g,n/a
2777,0,304,calories,31,g,n/a
2778,0,192,calories,20,g,n/a
2779,0,193,calories,21,g,n/a
2780,0,295,calories,29,g,n/a
2781,0,163,calories,14,g,n/a
2782,0,117,calories,12,g,n/a
2783,0,175,calories,17,g,n/a
2784,0,175,calories,18,g,n/a
2785,0,177,calories,17,g,n/a
2786,0,195,calories,20,g,n/a
2787,0,206,calories,22,g,5.57
2788,0,245,calories,23,g,6.07
2789,0,174,calories,12,g,5.41
2790,0,212,calories,18,g,n/a
2791,0,202,calories,21,g,5.55
2792,0,168,calories,17,g,5.33
2793,0,154,calories,14,g,n/a
2794,0,186,calories,17,g,n/a
2795,0,162,calories,17,g,n/a
2796,0,179,calories,20,g,n/a
2797,0,234,calories,26,g,5.7
2798,0,162,calories,12,g,5.43
2799,0,216,calories,19,g,n/a
2800,0,171,calories,16,g,5.6
2801,0,258,calories,24,g,n/a
2802,0,140,calories,13,g,5.56
2803,0,255,calories,20,g,5.59
2804,0,145,calories,15,g,n/a
2805,0,292,calories,29,g,5.55
2806,0,193,calories,17,g,n/a
2807,0,147,calories,13,g,5.2
2808,0,208,calories,22,g,5.72
2809,0,248,calories,24,g,5.51
2810,0,195,calories,20,g,n/a
2811,0,207,calories,20,g,5.39
2812,0,187,calories,18,g,5.89
2813,0,178,calories,19,g,5.76
2814,0,157,calories,15,g,5.81
2815,0,178,calories,19,g,5.86
2816,0,189,calories,21,g,n/a
2817,0,326,calories,32,g,5.5
2818,0,168,calories,12,g,5.7
2819,0,179,calories,20,g,5.57
2820,0,185,calories,15,g,n/a
2821,0,131,calories,13,g,n/a
2822,1,164,calories,16,g,5.86
2823,0,168,calories,17,g,n/a
2824,0,260,calories,23,g,n/a
2825,0,144,calories,14,g,5.35
2826,0,202,calories,21,g,n/a
2827,0,309,calories,31,g,n/a
2828,0,157,calories,14,g,n/a
2829,0,168,calories,18,g,n/a
2830,0,205,calories,25,g,n/a
2831,0,162,calories,11,g,5.74
2832,0,185,calories,20,g,n/a
2833,0,174,calories,16,g,n/a
2834,0,229,calories,25,g,n/a
2835,0,191,calories,18,g,n/a
2836,0,198,calories,20,g,n/a
2837,0,167,calories,16,g,5.65
2838,0,120,calories,6,g,n/a
2839,0,206,calories,19,g,5.47
2840,0,329,calories,29,g,n/a
2841,0,230,calories,20,g,n/a
2842,0,184,calories,18,g,5.81
2843,0,177,calories,21,g,n/a
2844,0,197,calories,20,g,5.79
2845,0,143,calories,12,g,n/a
2846,0,218,calories,22,g,5.73
2847,0,241,calories,23,g,n/a
2848,0,163,calories,14,g,5.93
2849,0,155,calories,15,g,5.76
2850,0,228,calories,23,g,n/a
2851,0,175,calories,17,g,n/a
2852,0,163,calories,14,g,5.2
2853,0,165,calories,17,g,n/a
2854,0,213,calories,22,g,n/a
2855,0,170,calories,15,g,n/a
2856,0,176,calories,19,g,n/a
2857,0,213,calories,18,g,n/a
2858,0,134,calories,13,g,5.95
2859,0,175,calories,17,g,5.51
2860,0,196,calories,17,g,n/a
2861,0,149,calories,13,g,n/a
2862,0,202,calories,20,g,n/a
2863,0,156,calories,13,g,5.46
2864,0,151,calories,15,g,5.76
2865,0,172,calories,18,g,5.64
2866,0,136,calories,16,g,n/a
2867,0,176,calories,16,g,n/a
2868,0,236,calories,19,g,5.65
2869,0,222,calories,22,g,5.39
2870,0,181,calories,17,g,n/a
2871,0,198,calories,20,g,5.64
2872,0,231,calories,20,g,n/a
2873,0,230,calories,26,g,5.26
2874,0,186,calories,21,g,5.58
2875,0,185,calories,18,g,n/a
2876,0,0,calories,0,g,n/a
2877,0,206,calories,22,g,5.36
2878,0,180,calories,16,g,5.83
2879,1,164,calories,15,g,n/a
