,title,style,size,ABV,IBU,OG,FG,color,method,views,brewed,rating,size_unit,author,author_name,boil_size,boil_time,boil_grav,pitch_rate,temp_prim,temp_unit,prim_method,prim_amount,prim_amount_unit,creation_date,url_beer,url_style,url_author,efficiency,mash_thick,sugar_scale
1386,Centennial blonde,No Profile Selected,5.5,4.52,21.02,1.043,1.009,3,All Grain,72,3,0.0,Gal,,,7,60,1.034,,68 , F,,,,08/27/2018 11:39 PM,https://www.brewersfriend.com/homebrew/recipe/view/697096/centennial-blonde,https://www.brewersfriend.com/styles/no-profile-selected/,,75,1.4,Specific Gravity
1387,IPA 3,American IPA,4,6.07,48.2,1.061,1.015,17,All Grain,62,3,0.0,L,,mainzer,47.5,60,1.051,0.35,18 , C,,,,08/26/2018 09:31 AM,https://www.brewersfriend.com/homebrew/recipe/view/696359/ipa-3,https://www.brewersfriend.com/styles/american-ipa/,,65,3,Specific Gravity
1388,Tiger tooth,American Light Lager,5.5,5.04,44.49,1.05,1.012,4,All Grain,68,3,0.0,Gal,48795,Raelynn,7.5,60,1.037,0.35,70 , F,,,,08/25/2018 02:39 PM,https://www.brewersfriend.com/homebrew/recipe/view/696042/tiger-tooth,https://www.brewersfriend.com/styles/american-light-lager/,https://www.brewersfriend.com/homebrew/brewer/48795,70,1.5,Specific Gravity
1389,Simple Sour,Fruit Beer,5.5,3.77,10.67,1.036,1.007,2,All Grain,226,3,0.0,Gal,105861,Barter & Trade,6.13,30,1.032,0.75,66 , F,,,,08/23/2018 07:18 PM,https://www.brewersfriend.com/homebrew/recipe/view/695234/simple-sour,https://www.brewersfriend.com/styles/fruit-beer/,https://www.brewersfriend.com/homebrew/brewer/105861,82,2,Specific Gravity
1390,Rye IPA,Specialty IPA: Rye IPA,5.5,7.6,89.23,1.07,1.012,19,All Grain,150,3,0.0,Gal,,,7.5,60,1.052,,,,,,,08/23/2018 12:51 AM,https://www.brewersfriend.com/homebrew/recipe/view/694937/rye-ipa,https://www.brewersfriend.com/styles/specialty-ipa-rye-ipa/,,75,1.3,Specific Gravity
1391,Smashed mosaic,American Pale Ale,1,6.77,38.97,1.062,1.01,6,BIAB,86,3,0.0,L,187384,Jimmer6009,21,60,1.044,,20 , C,,,,08/17/2018 02:43 PM,https://www.brewersfriend.com/homebrew/recipe/view/692495/smashed-mosaic,https://www.brewersfriend.com/styles/american-pale-ale/,https://www.brewersfriend.com/homebrew/brewer/187384,65,,Specific Gravity
1392,Matts sour,Berliner Weisse,5.5,7.47,33.87,17.8368,4.19939,9,All Grain,58,3,0.0,Gal,,Ericm53,7.5,60,13.3,,,,,,,08/17/2018 02:40 PM,https://www.brewersfriend.com/homebrew/recipe/view/692493/matts-sour,https://www.brewersfriend.com/styles/berliner-weisse/,,79,1.5,Plato
1393,Jai Alai,American IPA,5.5,7.12,88.29,16.3503,3.24993,7,All Grain,76,3,0.0,Gal,,Ericm53,7.5,60,12.2,,,,,,,08/17/2018 02:29 PM,https://www.brewersfriend.com/homebrew/recipe/view/692490/jai-alai,https://www.brewersfriend.com/styles/american-ipa/,,79,1.5,Plato
1394,Heiress De Bourgoogne,Berliner Weisse,5.5,7.1,31.06,17.4721,4.5106,14,All Grain,86,3,0.0,Gal,,Ericm53,7.5,60,13,,,,,,,08/17/2018 01:53 PM,https://www.brewersfriend.com/homebrew/recipe/view/692481/heiress-de-bourgoogne,https://www.brewersfriend.com/styles/berliner-weisse/,,79,1.5,Plato
1395,Fat Heffer Hefeweizen 10 Gallon,Weissbier,1,5.23,9.7,1.051,1.011,3,All Grain,91,3,0.0,Gal,175782,Derek Barrington,14.5,60,1.038,0.75,75 , F,,,,08/11/2018 11:59 PM,https://www.brewersfriend.com/homebrew/recipe/view/690217/fat-heffer-hefeweizen-10-gallon,https://www.brewersfriend.com/styles/weissbier/,https://www.brewersfriend.com/homebrew/brewer/175782,80,1.5,Specific Gravity
1396,Blueberry Jalapeno Ale,Fruit Beer,5,7.98,46.88,1.08,1.019,6,All Grain,82,3,0.0,Gal,184382,[email protected],6.5,60,1.054,,68 , F,,,,08/01/2018 07:45 PM,https://www.brewersfriend.com/homebrew/recipe/view/685932/blueberry-jalapeno-ale,https://www.brewersfriend.com/styles/fruit-beer/,https://www.brewersfriend.com/homebrew/brewer/184382,75,1.25,Specific Gravity
1397,Culpeper Shandy,Blonde Ale,5.5,5.22,30.82,1.051,1.011,3,All Grain,83,3,0.0,Gal,50773,Vooch,7.5,60,1.037,,,,,,,07/29/2018 05:12 PM,https://www.brewersfriend.com/homebrew/recipe/view/684538/culpeper-shandy,https://www.brewersfriend.com/styles/blonde-ale/,https://www.brewersfriend.com/homebrew/brewer/50773,70,1.25,Specific Gravity
1398,Mac's - Plow Horse Farm Ale,Saison,5,6.58,29.89,1.064,1.013,5,BIAB,118,3,0.0,Gal,66346,MacBrewingCo,6,60,1.049,0.75,75 , F,,,,07/29/2018 05:03 PM,https://www.brewersfriend.com/homebrew/recipe/view/684534/mac-s-plow-horse-farm-ale,https://www.brewersfriend.com/styles/saison/,https://www.brewersfriend.com/homebrew/brewer/66346,70,,Specific Gravity
1399,Ryesaison,Saison,2.5,7.07,37.56,1.058,1.004,4,All Grain,70,3,0.0,Gal,183868,IAnolastname,3.5,60,1.042,0.5,,,,,,07/29/2018 11:17 AM,https://www.brewersfriend.com/homebrew/recipe/view/684394/ryesaison,https://www.brewersfriend.com/styles/saison/,https://www.brewersfriend.com/homebrew/brewer/183868,70,1.5,Specific Gravity
1400,Stone -- Lee's English Mild,Dark Mild,5.5,3.79,29.72,1.041,1.013,16,All Grain,111,3,0.0,Gal,56592,Savemeone,6.5,75,1.035,0.75,64 , F,Keg,,,07/28/2018 01:59 PM,https://www.brewersfriend.com/homebrew/recipe/view/684020/stone-lee-s-english-mild,https://www.brewersfriend.com/styles/dark-mild/,https://www.brewersfriend.com/homebrew/brewer/56592,70,1.5,Specific Gravity
1401,American Pale Ale,American Pale Ale,2,5.89,40.84,1.059,1.014,8,All Grain,110,3,0.0,L,89964,LeoBrew,28.5,60,1.044,0.35,19 , C,,,,07/27/2018 08:34 PM,https://www.brewersfriend.com/homebrew/recipe/view/683738/american-pale-ale,https://www.brewersfriend.com/styles/american-pale-ale/,https://www.brewersfriend.com/homebrew/brewer/89964,68,3,Specific Gravity
1402,Mudders Milk,Imperial Stout,7,9.15,88.4,1.097,1.027,36,All Grain,32,3,0.0,Gal,141479,Tbagger,8,60,1.08,0.75,64 , F,,,,07/22/2018 05:51 AM,https://www.brewersfriend.com/homebrew/recipe/view/681291/mudders-milk,https://www.brewersfriend.com/styles/imperial-stout/,https://www.brewersfriend.com/homebrew/brewer/141479,70,1.5,Specific Gravity
1403,Theakstone Best Bitter clone MiQ,Ordinary Bitter,2,3.72,32.06,1.036,1.008,12,All Grain,187,3,0.0,L,124370,MiQ,25,65,1.029,0.35,18 , C,,,,07/21/2018 11:56 PM,https://www.brewersfriend.com/homebrew/recipe/view/681199/theakstone-best-bitter-clone-miq,https://www.brewersfriend.com/styles/ordinary-bitter/,https://www.brewersfriend.com/homebrew/brewer/124370,60,3,Specific Gravity
1404,Bryebery,Saison,1,4.82,18.2,1.046,1.009,3,All Grain,193,3,0.0,Gal,103854,DevinJ,12.5,60,1.04,0.75,,,,,,07/18/2018 07:16 PM,https://www.brewersfriend.com/homebrew/recipe/view/679841/bryebery,https://www.brewersfriend.com/styles/saison/,https://www.brewersfriend.com/homebrew/brewer/103854,70,1.5,Specific Gravity
1405,Snap Hook Hefe,American Wheat Beer,5.5,4.83,17.58,1.048,1.012,4,All Grain,98,3,0.0,Gal,129216,Engineer4171,7,60,1.038,0.35,64 , F,,,,07/18/2018 02:22 PM,https://www.brewersfriend.com/homebrew/recipe/view/679735/snap-hook-hefe,https://www.brewersfriend.com/styles/american-wheat-beer/,https://www.brewersfriend.com/homebrew/brewer/129216,65,1.6,Specific Gravity
1406,Gus' yeast brew,Mixed-Fermentation Sour Beer,5.5,3.89,32.74,1.039,1.009,3,All Grain,65,3,0.0,Gal,,schram brothers,7.5,60,1.028,,,,,,,07/17/2018 10:09 PM,https://www.brewersfriend.com/homebrew/recipe/view/679477/gus-yeast-brew,https://www.brewersfriend.com/styles/mixed-fermentation-sour-beer/,,75,1.5,Specific Gravity
1407,PMS,Double IPA,5.5,6.49,40.29,1.063,1.016,11,All Grain,178,3,0.0,Gal,128285,thehaze44,7.5,30,1.046,,73 , F,,,,07/17/2018 06:15 PM,https://www.brewersfriend.com/homebrew/recipe/view/679392/pms,https://www.brewersfriend.com/styles/double-ipa/,https://www.brewersfriend.com/homebrew/brewer/128285,80,1.5,Specific Gravity
1408,Lazy Yak Clone,Clone Beer,2,3.5,18.71,1.034,1.007,5,BIAB,374,3,0.0,L,88023,Quokka42,28.5,60,1.025,0.75,14 , C,,,,07/17/2018 10:40 AM,https://www.brewersfriend.com/homebrew/recipe/view/679210/lazy-yak-clone,https://www.brewersfriend.com/styles/clone-beer/,https://www.brewersfriend.com/homebrew/brewer/88023,72,,Specific Gravity
1409,esb tasty 50 bruce version 28L,Strong Bitter,2,4.57,32.45,1.045,1.01,9,All Grain,77,3,0.0,L,,,32,60,1.04,0.5,16 , C,,,,07/10/2018 11:30 AM,https://www.brewersfriend.com/homebrew/recipe/view/676200/esb-tasty-50-bruce-version-28l,https://www.brewersfriend.com/styles/strong-bitter/,,72,5.77,Specific Gravity
1410,Blood Orange Shandy,Fruit Beer,5.5,4.45,13.12,1.042,1.008,3,All Grain,369,3,0.0,Gal,143014,Tom Soden,6,60,1.038,,,,,,,07/07/2018 07:35 PM,https://www.brewersfriend.com/homebrew/recipe/view/675107/blood-orange-shandy,https://www.brewersfriend.com/styles/fruit-beer/,https://www.brewersfriend.com/homebrew/brewer/143014,60,1.7,Specific Gravity
1411,EC Street - cascade/ Citra hopped IPA,American IPA,6,7.17,44.61,1.066,1.012,10,All Grain,137,3,0.0,Gal,,ECBrewing,7.5,60,1.053,0.35,68 , F,,,,07/07/2018 06:35 PM,https://www.brewersfriend.com/homebrew/recipe/view/675086/ec-street-cascade-citra-hopped-ipa,https://www.brewersfriend.com/styles/american-ipa/,,75,1.5,Specific Gravity
1412,Regal Pale Ale,American Pale Ale,2,4.77,30.91,1.045,1.009,8,BIAB,129,3,0.0,L,14537,Quaff_an_ale,25.6,60,1.037,0.75,68 , C,,,,07/01/2018 09:02 PM,https://www.brewersfriend.com/homebrew/recipe/view/672756/regal-pale-ale,https://www.brewersfriend.com/styles/american-pale-ale/,https://www.brewersfriend.com/homebrew/brewer/14537,58,,Specific Gravity
1413,VFB18 - Humlebombe Pale Ale,American Pale Ale,4,6.55,100.59,1.067,1.017,6,All Grain,144,3,0.0,L,89432,Valdres Friluftsbryggeri,55,60,1.054,0.35,18 , C,,,,07/01/2018 07:24 PM,https://www.brewersfriend.com/homebrew/recipe/view/672727/vfb18-humlebombe-pale-ale,https://www.brewersfriend.com/styles/american-pale-ale/,https://www.brewersfriend.com/homebrew/brewer/89432,70,2.8,Specific Gravity
1414,Here Gose Nothing,Gose,5,4.1,6,1.042,1.01,3,All Grain,57,3,0.0,Gal,,,6.75,75,1.031,0.75,66 , F,,,,07/01/2018 03:39 PM,https://www.brewersfriend.com/homebrew/recipe/view/672623/here-gose-nothing,https://www.brewersfriend.com/styles/gose/,,75,1.5,Specific Gravity
1415,sculpin clone,American IPA,5,6.39,91.55,1.062,1.013,7,Partial Mash,117,3,0.0,Gal,,mediocritywithhops,3,60,1.103,,,,,,,06/30/2018 12:04 AM,https://www.brewersfriend.com/homebrew/recipe/view/672078/sculpin-clone,https://www.brewersfriend.com/styles/american-ipa/,,70,,Specific Gravity
1416,Awesome Recipe,American IPA,5.5,6.68,92.23,1.068,1.017,4,All Grain,78,3,0.0,Gal,,,7.5,60,1.05,0.35,68 , F,,,,06/27/2018 02:19 PM,https://www.brewersfriend.com/homebrew/recipe/view/671033/awesome-recipe,https://www.brewersfriend.com/styles/american-ipa/,,70,1.33,Specific Gravity
1417,Gone faster session ipa,American Pale Ale,1,4.81,36.83,1.044,1.007,6,All Grain,96,3,0.0,Gal,178210,ted burrell,18,60,1.037,0.35,65 , F,force carbonate,25,psi,06/24/2018 04:57 PM,https://www.brewersfriend.com/homebrew/recipe/view/669735/gone-faster-session-ipa,https://www.brewersfriend.com/styles/american-pale-ale/,https://www.brewersfriend.com/homebrew/brewer/178210,75,1.25,Specific Gravity
1418,Sour puss,Fruit Lambic,5,6.09,0,1.061,1.015,3,All Grain,175,3,0.0,Gal,53569,Phat Kat,7.5,90,1.041,,68 , F,,,,06/21/2018 04:04 PM,https://www.brewersfriend.com/homebrew/recipe/view/668516/sour-puss,https://www.brewersfriend.com/styles/fruit-lambic/,https://www.brewersfriend.com/homebrew/brewer/53569,80,1.5,Specific Gravity
1419,OBK Blonde Ale,Blonde Ale,5.5,5.38,23.08,1.049,1.008,3,All Grain,109,3,0.0,Gal,176093,Delta7ango,6.5,60,1.042,,70 , F,,,,06/12/2018 12:43 AM,https://www.brewersfriend.com/homebrew/recipe/view/664776/obk-blonde-ale,https://www.brewersfriend.com/styles/blonde-ale/,https://www.brewersfriend.com/homebrew/brewer/176093,75,1.5,Specific Gravity
1420,Awesome Recipe,American IPA,5,6.24,78.93,1.07,1.023,17,BIAB,72,3,0.0,Gal,,,7.5,60,1.047,0.75,70 , F,,,,06/11/2018 04:34 PM,https://www.brewersfriend.com/homebrew/recipe/view/664558/awesome-recipe,https://www.brewersfriend.com/styles/american-ipa/,,70,,Specific Gravity
1421,CitrAZ IPA,American IPA,5,7.71,67.82,1.073,1.014,6,All Grain,74,3,0.0,Gal,175690,schillch,7,60,1.052,,66 , F,,,,06/09/2018 11:02 PM,https://www.brewersfriend.com/homebrew/recipe/view/663897/citraz-ipa,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/175690,70,1.5,Specific Gravity
1422,Xtra-Citra Clone,American Pale Ale,5.5,4.51,52.83,1.045,1.011,7,All Grain,621,3,0.0,Gal,103854,DevinJ,7,60,1.035,,,,,,,06/06/2018 06:06 PM,https://www.brewersfriend.com/homebrew/recipe/view/662481/xtra-citra-clone,https://www.brewersfriend.com/styles/american-pale-ale/,https://www.brewersfriend.com/homebrew/brewer/103854,50,1.3,Specific Gravity
1423,Not-So-Bad Santa,Scottish Heavy,5,4.85,36.01,1.049,1.012,13,All Grain,165,3,0.0,Gal,174906,Harry Two Sticks,7.5,60,1.033,1.0,70 , F,corn sugar,3/4,cup,06/05/2018 08:11 PM,https://www.brewersfriend.com/homebrew/recipe/view/662083/not-so-bad-santa,https://www.brewersfriend.com/styles/scottish-heavy/,https://www.brewersfriend.com/homebrew/brewer/174906,35,1.5,Specific Gravity
1424,4Gs New England IPA 6,Specialty IPA: New England IPA,6,5.11,57.42,1.052,1.013,6,All Grain,118,3,0.0,Gal,45733,4Gs Brewing,7.75,60,1.04,0.35,68 , F,,,,06/04/2018 12:17 PM,https://www.brewersfriend.com/homebrew/recipe/view/661446/4gs-new-england-ipa-6,https://www.brewersfriend.com/styles/specialty-ipa-new-england-ipa/,https://www.brewersfriend.com/homebrew/brewer/45733,65,1.25,Specific Gravity
1425,Hazedelic Juice Grenade,American IPA,6,7.24,51.63,1.072,1.017,5,All Grain,103,3,0.0,Gal,67739,John LaFramboise,8,60,1.051,1.0,70 , F,,,,06/04/2018 02:07 AM,https://www.brewersfriend.com/homebrew/recipe/view/661333/hazedelic-juice-grenade,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/67739,72,1.5,Specific Gravity
1426,NEIPA,American IPA,7,6.38,13.65,1.062,1.013,3,BIAB,80,3,0.0,Gal,143005,RazzleDazzle,7.38,45,1.059,0.35,90 , F,,,,06/01/2018 10:47 PM,https://www.brewersfriend.com/homebrew/recipe/view/660194/neipa,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/143005,85,,Specific Gravity
1427,Hop Kong Phooey,American IPA,5,6.79,72.1,1.066,1.014,8,All Grain,158,3,0.0,Gal,173969,lungfamine,6.4,60,1.051,0.35,70 , F,,,,05/31/2018 07:54 PM,https://www.brewersfriend.com/homebrew/recipe/view/659673/hop-kong-phooey,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/173969,70,1.25,Specific Gravity
1428,Wheat Citra Lager,No Profile Selected,5.5,4.12,29.96,1.039,1.008,3,BIAB,56,3,0.0,Gal,,,7.4,60,1.029,1.5,64 , F,,,,05/31/2018 12:20 AM,https://www.brewersfriend.com/homebrew/recipe/view/659370/wheat-citra-lager,https://www.brewersfriend.com/styles/no-profile-selected/,,72,,Specific Gravity
1429,Citra and mosaic V2,American IPA,4,5.31,37.73,1.054,1.013,7,All Grain,98,3,0.0,L,104454,Ben Hammond,48,60,1.047,0.35,20 , C,,,,05/30/2018 09:24 PM,https://www.brewersfriend.com/homebrew/recipe/view/659311/citra-and-mosaic-v2,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/104454,72,3,Specific Gravity
1430,SMASH The Pale,American Pale Ale,1,7.29,51.56,1.068,1.013,6,BIAB,131,3,0.0,Gal,110500,Banded Goose Brewing Company,13.5,60,1.055,0.5,66 , F,,,,05/30/2018 04:02 PM,https://www.brewersfriend.com/homebrew/recipe/view/659172/smash-the-pale,https://www.brewersfriend.com/styles/american-pale-ale/,https://www.brewersfriend.com/homebrew/brewer/110500,80,,Specific Gravity
1431,Prairie Bomb Clone,Russian Imperial Stout,5,12.57,119.23,1.127,1.032,50,All Grain,1996,3,0.0,Gal,107160,plano_harry,7.06,60,1.058,1.0,65 , F,,,,05/28/2018 10:18 PM,https://www.brewersfriend.com/homebrew/recipe/view/658441/prairie-bomb-clone,https://www.brewersfriend.com/styles/russian-imperial-stout/,https://www.brewersfriend.com/homebrew/brewer/107160,72,1.4,Specific Gravity
1432,Awesome Recipe,American Light Lager,7,8.59,53.64,1.081,1.015,4,All Grain,104,3,0.0,Gal,61376,jduche,10,60,1.057,,,,,,,05/28/2018 05:22 PM,https://www.brewersfriend.com/homebrew/recipe/view/658291/awesome-recipe,https://www.brewersfriend.com/styles/american-light-lager/,https://www.brewersfriend.com/homebrew/brewer/61376,70,1.5,Specific Gravity
1433,Blonde,American Light Lager,5.5,6.21,23.15,1.057,1.01,4,All Grain,92,3,0.0,Gal,64267,[email protected],6.5,60,1.048,,66 , F,,,,05/26/2018 05:54 PM,https://www.brewersfriend.com/homebrew/recipe/view/657426/blonde,https://www.brewersfriend.com/styles/american-light-lager/,https://www.brewersfriend.com/homebrew/brewer/64267,75,1.33,Specific Gravity
1434,Dags Pale Ale,American Pale Ale,3,5.88,35,1.057,1.012,8,All Grain,122,3,0.0,L,62181,Dag P�l Haug,38,90,1.051,,28 , C,,,,05/25/2018 05:52 PM,https://www.brewersfriend.com/homebrew/recipe/view/657019/dags-pale-ale,https://www.brewersfriend.com/styles/american-pale-ale/,https://www.brewersfriend.com/homebrew/brewer/62181,80,6,Specific Gravity
1435,Raspberry Milkshake IPA,Fruit Beer,5.5,6.26,69.74,1.065,1.017,8,All Grain,1226,3,5.0,Gal,,,7.5,60,1.048,0.75,70 , F,,,,05/24/2018 06:08 PM,https://www.brewersfriend.com/homebrew/recipe/view/656634/raspberry-milkshake-ipa,https://www.brewersfriend.com/styles/fruit-beer/,,75,1.5,Specific Gravity
1436,apa,American Pale Ale,2,6.57,39.59,1.06,1.01,7,All Grain,86,3,0.0,L,,,18.6,60,1.065,,20 , C,,,,05/23/2018 06:41 PM,https://www.brewersfriend.com/homebrew/recipe/view/656183/apa,https://www.brewersfriend.com/styles/american-pale-ale/,,65,3,Specific Gravity
1437,HazePhaze2 NE IPA,American IPA,5,6.26,227.53,1.065,1.017,5,All Grain,142,3,0.0,Gal,124414,gincor4,7,60,1.046,,68 , F,,,,05/22/2018 01:47 AM,https://www.brewersfriend.com/homebrew/recipe/view/655368/hazephaze2-ne-ipa,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/124414,70,1.5,Specific Gravity
1438,Munich Helles,Munich Helles,5.5,5.16,22.84,1.053,1.014,4,All Grain,99,3,0.0,Gal,,Lasikjoe,7.5,75,1.039,0.35,,,,,,05/19/2018 06:02 PM,https://www.brewersfriend.com/homebrew/recipe/view/654330/munich-helles,https://www.brewersfriend.com/styles/munich-helles/,,75,1.5,Specific Gravity
1439,Citra Smash,American IPA,5.3,7.55,86.41,1.069,1.012,10,All Grain,110,3,0.0,Gal,,,7.5,60,1.049,0.35,,,,,,05/19/2018 05:14 PM,https://www.brewersfriend.com/homebrew/recipe/view/654297/citra-smash,https://www.brewersfriend.com/styles/american-ipa/,,75,0.7,Specific Gravity
1440,Stout,Oatmeal Stout,5,5.31,65.24,1.053,1.013,33,All Grain,84,3,0.0,L,144022,Franta001,61,60,1.046,1.25,22 , C,,,,05/16/2018 09:08 PM,https://www.brewersfriend.com/homebrew/recipe/view/652890/stout,https://www.brewersfriend.com/styles/oatmeal-stout/,https://www.brewersfriend.com/homebrew/brewer/144022,60,3,Specific Gravity
1441,Give Me Liberty,Blonde Ale,5.5,5.42,23.11,1.052,1.011,5,All Grain,118,3,0.0,Gal,56907,Bold Brews,7.5,60,1.038,,,,,,,05/16/2018 07:01 PM,https://www.brewersfriend.com/homebrew/recipe/view/652828/give-me-liberty,https://www.brewersfriend.com/styles/blonde-ale/,https://www.brewersfriend.com/homebrew/brewer/56907,60,1.2,Specific Gravity
1442,P'ville Imp IPA - 2 Hearted mod 2,American IPA,3,7.35,53.4,1.067,1.011,5,BIAB,124,3,0.0,Gal,143892,InspectorJon,4.5,60,1.045,1.0,68 , F,,,,05/15/2018 11:42 PM,https://www.brewersfriend.com/homebrew/recipe/view/652461/p-ville-imp-ipa-2-hearted-mod-2,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/143892,75,,Specific Gravity
1443,Brannan Blue,Fruit Beer,5.5,4.79,6.88,1.048,1.011,4,All Grain,60,3,0.0,Gal,,,7.75,60,1.034,,65 , F,,,,05/13/2018 05:38 PM,https://www.brewersfriend.com/homebrew/recipe/view/651371/brannan-blue,https://www.brewersfriend.com/styles/fruit-beer/,,75,1.5,Specific Gravity
1444,American Wheat,American Wheat Beer,6,5.27,26.78,1.053,1.012,3,All Grain,139,3,0.0,Gal,90758,I_playdrums,7,60,1.045,0.35,65 , F,,,,05/12/2018 12:40 PM,https://www.brewersfriend.com/homebrew/recipe/view/650846/american-wheat,https://www.brewersfriend.com/styles/american-wheat-beer/,https://www.brewersfriend.com/homebrew/brewer/90758,71,1.8,Specific Gravity
1445,Centennial Blonde,Blonde Ale,2,4.18,24.09,1.041,1.01,4,BIAB,107,3,0.0,L,,,32.6,60,1.032,,20 , C,,,,05/12/2018 11:02 AM,https://www.brewersfriend.com/homebrew/recipe/view/650818/centennial-blonde,https://www.brewersfriend.com/styles/blonde-ale/,,70,,Specific Gravity
1446,Smooth Operator NEIPA,American IPA,1,9.05,87.42,1.103,1.034,9,BIAB,246,3,0.0,Gal,142246,ACrytz,18,60,1.077,,64 , F,,,,05/10/2018 05:43 PM,https://www.brewersfriend.com/homebrew/recipe/view/650163/smooth-operator-neipa,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/142246,70,,Specific Gravity
1447,Belgian Weissbier,Bière de Garde,2,3.79,44.82,1.039,1.01,6,All Grain,126,3,0.0,L,117563,Cerveza artesanal,29,60,1.028,,,,,,,05/06/2018 07:46 PM,https://www.brewersfriend.com/homebrew/recipe/view/648464/belgian-weissbier,https://www.brewersfriend.com/styles/biere-de-garde/,https://www.brewersfriend.com/homebrew/brewer/117563,35,3,Specific Gravity
1448,Smash Bros Pilsner,Pre-Prohibition Lager,1,5.71,38.25,1.057,1.014,3,All Grain,14,3,0.0,Gal,141479,Tbagger,15,60,1.053,0.75,55 , F,,,,04/30/2018 10:15 AM,https://www.brewersfriend.com/homebrew/recipe/view/645342/smash-bros-pilsner,https://www.brewersfriend.com/styles/pre-prohibition-lager/,https://www.brewersfriend.com/homebrew/brewer/141479,70,1.5,Specific Gravity
1449,Sepulveda Session Ale,American Pale Ale,5,4.86,53.56,1.048,1.011,6,All Grain,151,3,0.0,Gal,,,7.5,60,1.032,,,,,,,04/29/2018 06:45 PM,https://www.brewersfriend.com/homebrew/recipe/view/645099/sepulveda-session-ale,https://www.brewersfriend.com/styles/american-pale-ale/,,60,1.5,Specific Gravity
1450,IPA #5,American IPA,2,5.06,36.28,1.051,1.013,7,All Grain,102,3,0.0,L,115554,Sallfeldt,28.5,60,1.038,,,,,,,04/29/2018 02:20 PM,https://www.brewersfriend.com/homebrew/recipe/view/644953/ipa-5,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/115554,75,4.5,Specific Gravity
1451,Sesquicentennial - robo,American IPA,5.5,6.95,62.04,1.067,1.014,9,All Grain,84,3,0.0,Gal,,jvl,7,60,1.053,1.25,,,,,,04/28/2018 08:09 PM,https://www.brewersfriend.com/homebrew/recipe/view/644679/sesquicentennial-robo,https://www.brewersfriend.com/styles/american-ipa/,,68,1.5,Specific Gravity
1452,Dead Ringer IPA,American IPA,5.5,6.39,59.36,1.06,1.011,7,All Grain,92,3,0.0,Gal,118840,nich,7.5,75,1.044,,65 , F,,,,04/28/2018 06:09 PM,https://www.brewersfriend.com/homebrew/recipe/view/644612/dead-ringer-ipa,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/118840,75,1.5,Specific Gravity
1453,Galaxy Otter SMaSH,American IPA,2.5,6.86,56.54,1.063,1.01,6,BIAB,198,3,0.0,Gal,139266,TayBrain,3.3,60,1.047,0.75,65 , F,,,,04/26/2018 02:20 PM,https://www.brewersfriend.com/homebrew/recipe/view/643665/galaxy-otter-smash,https://www.brewersfriend.com/styles/american-ipa/,https://www.brewersfriend.com/homebrew/brewer/139266,75,,Specific Gravity
1454,Mango Milkshake IPA,Specialty IPA: New England IPA,5,6.71,108.67,1.076,1.025,5,All Grain,674,3,0.0,Gal,,friskt,6.5,60,1.059,0.75,69 , F,,,,04/24/2018 06:28 PM,https://www.brewersfriend.com/homebrew/recipe/view/642874/mango-milkshake-ipa,https://www.brewersfriend.com/styles/specialty-ipa-new-england-ipa/,,75,1.5,Specific Gravity
1455,Belgian Dubel,Belgian Dubbel,6,7.27,24.77,1.068,1.012,20,All Grain,41,3,0.0,Gal,,,7.5,90,1.046,,,,,,,04/24/2018 12:38 PM,https://www.brewersfriend.com/homebrew/recipe/view/642705/belgian-dubel,https://www.brewersfriend.com/styles/belgian-dubbel/,,75,1.5,Specific Gravity
1456,Citrus Smokey Room Ale,Blonde Ale,5.5,4.4,17.9,1.043,1.01,4,All Grain,109,3,0.0,Gal,,,7.5,60,1.032,0.35,68 , F,,,,04/22/2018 06:49 PM,https://www.brewersfriend.com/homebrew/recipe/view/641935/citrus-smokey-room-ale,https://www.brewersfriend.com/styles/blonde-ale/,,75,2,Specific Gravity
1457,Fake pilsner,American Light Lager,2,5.33,0,1.054,1.014,7,All Grain,105,3,0.0,L,125324,Lucian,29,60,1.043,,,,,,,04/22/2018 02:22 PM,https://www.brewersfriend.com/homebrew/recipe/view/641785/fake-pilsner,https://www.brewersfriend.com/styles/american-light-lager/,https://www.brewersfriend.com/homebrew/brewer/125324,75,3,Specific Gravity
